Источник перечня;ID строки Directus;Slug;Услуга;Позиция прайса;Статус соответствия;Код по описанию услуги;Официальное название;Коды только для проверки протокола;Названия условных кодов;Основание и ограничения;Источник кода
Актуальный прайс Directus;83;laser-epilation;Лазерная эпиляция Pacer One Pro;№3: голень с коленями + бикини тотальное + подмышки;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;84;laser-epilation;Лазерная эпиляция Pacer One Pro;№4: бикини тотальное + подмышки;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;85;laser-epilation;Лазерная эпиляция Pacer One Pro;Мужская эпиляция;Соответствует описанному вмешательству;A14.01.013;Проведение эпиляции;;;"Проведение эпиляции. Зоны, пол пациента и количество сеансов — характеристики тарифа; код A14.01.012 обозначает депиляцию.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=146
Актуальный прайс Directus;86;beautylizer;Beautylizer — RSL-массаж тела;1 процедура;Код не установлен по имеющимся данным;;;;;"RSL с вращающимися сферами не подтверждает вакуумный массаж A21.01.007. Требуются протокол, зоны и обоснование медицинского массажа; единый точный код для всей программы не установлен.";
Актуальный прайс Directus;87;beautylizer;Beautylizer — RSL-массаж тела;Абонемент 6 процедур;Код не установлен по имеющимся данным;;;;;"RSL с вращающимися сферами не подтверждает вакуумный массаж A21.01.007. Требуются протокол, зоны и обоснование медицинского массажа; единый точный код для всей программы не установлен.";
Актуальный прайс Directus;88;beautylizer;Beautylizer — RSL-массаж тела;Абонемент 10 процедур;Код не установлен по имеющимся данным;;;;;"RSL с вращающимися сферами не подтверждает вакуумный массаж A21.01.007. Требуются протокол, зоны и обоснование медицинского массажа; единый точный код для всей программы не установлен.";
Актуальный прайс Directus;89;beautylizer;Beautylizer — RSL-массаж тела;Абонемент 12 процедур;Код не установлен по имеющимся данным;;;;;"RSL с вращающимися сферами не подтверждает вакуумный массаж A21.01.007. Требуются протокол, зоны и обоснование медицинского массажа; единый точный код для всей программы не установлен.";
Актуальный прайс Directus;90;mikrotokovaya-terapiya;Микротоковая терапия;Лимфодренаж, 20 минут (малая зона);Условно: требуется подтверждение протокола;;;A17.01.009;Электронный лимфодренаж при заболеваниях кожи и подкожной клетчатки;Нужно подтвердить медицинский протокол: официальное название содержит «при заболеваниях кожи и подкожной клетчатки». Уход/маска в составе программы не получают автоматически этот код.;https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=273
Актуальный прайс Directus;91;mikrotokovaya-terapiya;Микротоковая терапия;Лицо, 40 минут;Условно: требуется подтверждение протокола;;;A17.01.010;Микротоковое воздействие при заболеваниях кожи и подкожной клетчатки;Нужно подтвердить медицинский протокол: официальное название содержит «при заболеваниях кожи и подкожной клетчатки». Уход/маска в составе программы не получают автоматически этот код.;https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=273
Актуальный прайс Directus;92;mikrotokovaya-terapiya;Микротоковая терапия;«Лифтинг» лицо + шея с маской;Условно: требуется подтверждение протокола;;;A17.01.010;Микротоковое воздействие при заболеваниях кожи и подкожной клетчатки;Нужно подтвердить медицинский протокол: официальное название содержит «при заболеваниях кожи и подкожной клетчатки». Уход/маска в составе программы не получают автоматически этот код.;https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=273
Актуальный прайс Directus;93;mikrotokovaya-terapiya;Микротоковая терапия;Абонемент «Лифтинг» лицо + шея с уходом, 6 процедур;Условно: требуется подтверждение протокола;;;A17.01.010;Микротоковое воздействие при заболеваниях кожи и подкожной клетчатки;Нужно подтвердить медицинский протокол: официальное название содержит «при заболеваниях кожи и подкожной клетчатки». Уход/маска в составе программы не получают автоматически этот код.;https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=273
Актуальный прайс Directus;94;mikrotokovaya-terapiya;Микротоковая терапия;Абонемент «Лифтинг» лицо + шея с уходом, 10 процедур;Условно: требуется подтверждение протокола;;;A17.01.010;Микротоковое воздействие при заболеваниях кожи и подкожной клетчатки;Нужно подтвердить медицинский протокол: официальное название содержит «при заболеваниях кожи и подкожной клетчатки». Уход/маска в составе программы не получают автоматически этот код.;https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=273
Актуальный прайс Directus;95;profeccial;ProFacial — комплексный аппаратный уход;Процедура «Голливуд» лицо, ProFacial;Код не установлен по имеющимся данным;;;;;Многофункциональный аппарат: программа «Голливуд» и RF-воздействие не имеют подтверждённого единого кода по торговому названию. Нужны этапы и инструкция аппарата.;
Актуальный прайс Directus;96;profeccial;ProFacial — комплексный аппаратный уход;Процедура «Голливуд» лицо, шея, декольте, ProFacial;Код не установлен по имеющимся данным;;;;;Многофункциональный аппарат: программа «Голливуд» и RF-воздействие не имеют подтверждённого единого кода по торговому названию. Нужны этапы и инструкция аппарата.;
Актуальный прайс Directus;97;profeccial;ProFacial — комплексный аппаратный уход;Аквапилинг лицо (HydraFacial);Условно: требуется подтверждение протокола;;;A16.01.024;Дерматологический пилинг;Если фактически выполняется дерматологический пилинг. Аквапилинг не равен ультразвуковому пилингу A22.01.001.002. Для комбинированной программы нужен состав вмешательств.;https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=153
Актуальный прайс Directus;98;profeccial;ProFacial — комплексный аппаратный уход;Аквапилинг лицо, шея, декольте (HydraFacial);Условно: требуется подтверждение протокола;;;A16.01.024;Дерматологический пилинг;Если фактически выполняется дерматологический пилинг. Аквапилинг не равен ультразвуковому пилингу A22.01.001.002. Для комбинированной программы нужен состав вмешательств.;https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=153
Актуальный прайс Directus;99;profeccial;ProFacial — комплексный аппаратный уход;Аквапилинг Peach Peel + Пилинг (HydraFacial);Условно: требуется подтверждение протокола;;;A16.01.024;Дерматологический пилинг;Если фактически выполняется дерматологический пилинг. Аквапилинг не равен ультразвуковому пилингу A22.01.001.002. Для комбинированной программы нужен состав вмешательств.;https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=153
Актуальный прайс Directus;100;profeccial;ProFacial — комплексный аппаратный уход;RF-лифтинг, лицо;Код не установлен по имеющимся данным;;;;;Многофункциональный аппарат: программа «Голливуд» и RF-воздействие не имеют подтверждённого единого кода по торговому названию. Нужны этапы и инструкция аппарата.;
Актуальный прайс Directus;101;profeccial;ProFacial — комплексный аппаратный уход;RF-лифтинг, лицо, шея, декольте;Код не установлен по имеющимся данным;;;;;Многофункциональный аппарат: программа «Голливуд» и RF-воздействие не имеют подтверждённого единого кода по торговому названию. Нужны этапы и инструкция аппарата.;
Актуальный прайс Directus;102;profeccial;ProFacial — комплексный аппаратный уход;RF-лифтинг, шея, декольте;Код не установлен по имеющимся данным;;;;;Многофункциональный аппарат: программа «Голливуд» и RF-воздействие не имеют подтверждённого единого кода по торговому названию. Нужны этапы и инструкция аппарата.;
Актуальный прайс Directus;103;heleo;HELEO4 — фотодинамическая терапия;Лицо;Условно: требуется подтверждение протокола;;;A22.01.007 | A20.01.005;Фотодинамическая терапия при заболеваниях кожи, подкожно-жировой клетчатки, придатков кожи | Фототерапия кожи;"A22.01.007 — фотодинамическая терапия при указанных в номенклатуре заболеваниях и соответствующем протоколе; A20.01.005 — фототерапия кожи. В описании клиники есть оба режима, а строка прайса режим не уточняет.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=308 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;104;heleo;HELEO4 — фотодинамическая терапия;Лицо / Шея / Декольте;Условно: требуется подтверждение протокола;;;A22.01.007 | A20.01.005;Фотодинамическая терапия при заболеваниях кожи, подкожно-жировой клетчатки, придатков кожи | Фототерапия кожи;"A22.01.007 — фотодинамическая терапия при указанных в номенклатуре заболеваниях и соответствующем протоколе; A20.01.005 — фототерапия кожи. В описании клиники есть оба режима, а строка прайса режим не уточняет.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=308 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;105;heleo;HELEO4 — фотодинамическая терапия;Спина;Условно: требуется подтверждение протокола;;;A22.01.007 | A20.01.005;Фотодинамическая терапия при заболеваниях кожи, подкожно-жировой клетчатки, придатков кожи | Фототерапия кожи;"A22.01.007 — фотодинамическая терапия при указанных в номенклатуре заболеваниях и соответствующем протоколе; A20.01.005 — фототерапия кожи. В описании клиники есть оба режима, а строка прайса режим не уточняет.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=308 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;106;heleo;HELEO4 — фотодинамическая терапия;Кисти рук;Условно: требуется подтверждение протокола;;;A22.01.007 | A20.01.005;Фотодинамическая терапия при заболеваниях кожи, подкожно-жировой клетчатки, придатков кожи | Фототерапия кожи;"A22.01.007 — фотодинамическая терапия при указанных в номенклатуре заболеваниях и соответствующем протоколе; A20.01.005 — фототерапия кожи. В описании клиники есть оба режима, а строка прайса режим не уточняет.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=308 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;107;heleo;HELEO4 — фотодинамическая терапия;LED;Соответствует описанному вмешательству;A20.01.005;Фототерапия кожи;;;"Фототерапия кожи; самостоятельное LED-воздействие без фотосенсибилизатора не обозначать кодом фотодинамической терапии.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;108;heleo;HELEO4 — фотодинамическая терапия;Комплекс: лицо (4 процедуры);Условно: требуется подтверждение протокола;;;A22.01.007 | A20.01.005;Фотодинамическая терапия при заболеваниях кожи, подкожно-жировой клетчатки, придатков кожи | Фототерапия кожи;"A22.01.007 — фотодинамическая терапия при указанных в номенклатуре заболеваниях и соответствующем протоколе; A20.01.005 — фототерапия кожи. В описании клиники есть оба режима, а строка прайса режим не уточняет.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=308 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;109;heleo;HELEO4 — фотодинамическая терапия;Комплекс: лицо (6 процедур);Условно: требуется подтверждение протокола;;;A22.01.007 | A20.01.005;Фотодинамическая терапия при заболеваниях кожи, подкожно-жировой клетчатки, придатков кожи | Фототерапия кожи;"A22.01.007 — фотодинамическая терапия при указанных в номенклатуре заболеваниях и соответствующем протоколе; A20.01.005 — фототерапия кожи. В описании клиники есть оба режима, а строка прайса режим не уточняет.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=308 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;110;heleo;HELEO4 — фотодинамическая терапия;Комплекс: лицо (8 процедур);Условно: требуется подтверждение протокола;;;A22.01.007 | A20.01.005;Фотодинамическая терапия при заболеваниях кожи, подкожно-жировой клетчатки, придатков кожи | Фототерапия кожи;"A22.01.007 — фотодинамическая терапия при указанных в номенклатуре заболеваниях и соответствующем протоколе; A20.01.005 — фототерапия кожи. В описании клиники есть оба режима, а строка прайса режим не уточняет.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=308 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;111;heleo;HELEO4 — фотодинамическая терапия;Комплекс: лицо (10 процедур);Условно: требуется подтверждение протокола;;;A22.01.007 | A20.01.005;Фотодинамическая терапия при заболеваниях кожи, подкожно-жировой клетчатки, придатков кожи | Фототерапия кожи;"A22.01.007 — фотодинамическая терапия при указанных в номенклатуре заболеваниях и соответствующем протоколе; A20.01.005 — фототерапия кожи. В описании клиники есть оба режима, а строка прайса режим не уточняет.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=308 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;112;heleo;HELEO4 — фотодинамическая терапия;Комплекс: лицо/шея/декольте (4 процедуры);Условно: требуется подтверждение протокола;;;A22.01.007 | A20.01.005;Фотодинамическая терапия при заболеваниях кожи, подкожно-жировой клетчатки, придатков кожи | Фототерапия кожи;"A22.01.007 — фотодинамическая терапия при указанных в номенклатуре заболеваниях и соответствующем протоколе; A20.01.005 — фототерапия кожи. В описании клиники есть оба режима, а строка прайса режим не уточняет.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=308 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;113;heleo;HELEO4 — фотодинамическая терапия;Комплекс: лицо/шея/декольте (6 процедур);Условно: требуется подтверждение протокола;;;A22.01.007 | A20.01.005;Фотодинамическая терапия при заболеваниях кожи, подкожно-жировой клетчатки, придатков кожи | Фототерапия кожи;"A22.01.007 — фотодинамическая терапия при указанных в номенклатуре заболеваниях и соответствующем протоколе; A20.01.005 — фототерапия кожи. В описании клиники есть оба режима, а строка прайса режим не уточняет.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=308 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;114;heleo;HELEO4 — фотодинамическая терапия;Комплекс: лицо/шея/декольте (8 процедур);Условно: требуется подтверждение протокола;;;A22.01.007 | A20.01.005;Фотодинамическая терапия при заболеваниях кожи, подкожно-жировой клетчатки, придатков кожи | Фототерапия кожи;"A22.01.007 — фотодинамическая терапия при указанных в номенклатуре заболеваниях и соответствующем протоколе; A20.01.005 — фототерапия кожи. В описании клиники есть оба режима, а строка прайса режим не уточняет.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=308 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;115;heleo;HELEO4 — фотодинамическая терапия;Комплекс: лицо/шея/декольте (10 процедур);Условно: требуется подтверждение протокола;;;A22.01.007 | A20.01.005;Фотодинамическая терапия при заболеваниях кожи, подкожно-жировой клетчатки, придатков кожи | Фототерапия кожи;"A22.01.007 — фотодинамическая терапия при указанных в номенклатуре заболеваниях и соответствующем протоколе; A20.01.005 — фототерапия кожи. В описании клиники есть оба режима, а строка прайса режим не уточняет.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=308 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=299
Актуальный прайс Directus;116;mezoterapiya-i-biorevitalizaciya;Мезотерапия и биоревитализация;REVI EYE;Условно: требуется подтверждение протокола;;;A11.01.003 | A11.01.012;Внутрикожное введение лекарственных препаратов | Введение искусственных имплантатов в мягкие ткани;"Раздел объединяет разные вмешательства. A11.01.003 — только внутрикожное введение лекарственного препарата; A11.01.012 — введение искусственного имплантата в мягкие ткани. Выбрать по протоколу и регистрационной документации. Название средства само по себе не даёт кода.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115
Актуальный прайс Directus;117;mezoterapiya-i-biorevitalizaciya;Мезотерапия и биоревитализация;REVI STYLE 1 ml;Условно: требуется подтверждение протокола;;;A11.01.003 | A11.01.012;Внутрикожное введение лекарственных препаратов | Введение искусственных имплантатов в мягкие ткани;"Раздел объединяет разные вмешательства. A11.01.003 — только внутрикожное введение лекарственного препарата; A11.01.012 — введение искусственного имплантата в мягкие ткани. Выбрать по протоколу и регистрационной документации. Название средства само по себе не даёт кода.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115
Актуальный прайс Directus;118;mezoterapiya-i-biorevitalizaciya;Мезотерапия и биоревитализация;REVI STYLE 2 ml;Условно: требуется подтверждение протокола;;;A11.01.003 | A11.01.012;Внутрикожное введение лекарственных препаратов | Введение искусственных имплантатов в мягкие ткани;"Раздел объединяет разные вмешательства. A11.01.003 — только внутрикожное введение лекарственного препарата; A11.01.012 — введение искусственного имплантата в мягкие ткани. Выбрать по протоколу и регистрационной документации. Название средства само по себе не даёт кода.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115
Актуальный прайс Directus;119;mezoterapiya-i-biorevitalizaciya;Мезотерапия и биоревитализация;REVI SILK 1 ml;Условно: требуется подтверждение протокола;;;A11.01.003 | A11.01.012;Внутрикожное введение лекарственных препаратов | Введение искусственных имплантатов в мягкие ткани;"Раздел объединяет разные вмешательства. A11.01.003 — только внутрикожное введение лекарственного препарата; A11.01.012 — введение искусственного имплантата в мягкие ткани. Выбрать по протоколу и регистрационной документации. Название средства само по себе не даёт кода.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115
Актуальный прайс Directus;120;mezoterapiya-i-biorevitalizaciya;Мезотерапия и биоревитализация;REVI SILK 2 ml;Условно: требуется подтверждение протокола;;;A11.01.003 | A11.01.012;Внутрикожное введение лекарственных препаратов | Введение искусственных имплантатов в мягкие ткани;"Раздел объединяет разные вмешательства. A11.01.003 — только внутрикожное введение лекарственного препарата; A11.01.012 — введение искусственного имплантата в мягкие ткани. Выбрать по протоколу и регистрационной документации. Название средства само по себе не даёт кода.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115
Актуальный прайс Directus;121;mezoterapiya-i-biorevitalizaciya;Мезотерапия и биоревитализация;REVI STRONG 1 ml;Условно: требуется подтверждение протокола;;;A11.01.003 | A11.01.012;Внутрикожное введение лекарственных препаратов | Введение искусственных имплантатов в мягкие ткани;"Раздел объединяет разные вмешательства. A11.01.003 — только внутрикожное введение лекарственного препарата; A11.01.012 — введение искусственного имплантата в мягкие ткани. Выбрать по протоколу и регистрационной документации. Название средства само по себе не даёт кода.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115
Актуальный прайс Directus;122;mezoterapiya-i-biorevitalizaciya;Мезотерапия и биоревитализация;REVI STRONG 2 ml;Условно: требуется подтверждение протокола;;;A11.01.003 | A11.01.012;Внутрикожное введение лекарственных препаратов | Введение искусственных имплантатов в мягкие ткани;"Раздел объединяет разные вмешательства. A11.01.003 — только внутрикожное введение лекарственного препарата; A11.01.012 — введение искусственного имплантата в мягкие ткани. Выбрать по протоколу и регистрационной документации. Название средства само по себе не даёт кода.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115
Актуальный прайс Directus;123;mezoterapiya-i-biorevitalizaciya;Мезотерапия и биоревитализация;MESOXANTIN 1,5 ml;Условно: требуется подтверждение протокола;;;A11.01.003 | A11.01.012;Внутрикожное введение лекарственных препаратов | Введение искусственных имплантатов в мягкие ткани;"Раздел объединяет разные вмешательства. A11.01.003 — только внутрикожное введение лекарственного препарата; A11.01.012 — введение искусственного имплантата в мягкие ткани. Выбрать по протоколу и регистрационной документации. Название средства само по себе не даёт кода.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115
Актуальный прайс Directus;124;mezoterapiya-i-biorevitalizaciya;Мезотерапия и биоревитализация;MESOEYE 1 ml;Условно: требуется подтверждение протокола;;;A11.01.003 | A11.01.012;Внутрикожное введение лекарственных препаратов | Введение искусственных имплантатов в мягкие ткани;"Раздел объединяет разные вмешательства. A11.01.003 — только внутрикожное введение лекарственного препарата; A11.01.012 — введение искусственного имплантата в мягкие ткани. Выбрать по протоколу и регистрационной документации. Название средства само по себе не даёт кода.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115
Актуальный прайс Directus;125;mezoterapiya-i-biorevitalizaciya;Мезотерапия и биоревитализация;MESOWHARTON 1,5 ml;Условно: требуется подтверждение протокола;;;A11.01.003 | A11.01.012;Внутрикожное введение лекарственных препаратов | Введение искусственных имплантатов в мягкие ткани;"Раздел объединяет разные вмешательства. A11.01.003 — только внутрикожное введение лекарственного препарата; A11.01.012 — введение искусственного имплантата в мягкие ткани. Выбрать по протоколу и регистрационной документации. Название средства само по себе не даёт кода.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115
Актуальный прайс Directus;126;mezoterapiya-i-biorevitalizaciya;Мезотерапия и биоревитализация;NOVACUTAN Sbio 2 ml;Условно: требуется подтверждение протокола;;;A11.01.003 | A11.01.012;Внутрикожное введение лекарственных препаратов | Введение искусственных имплантатов в мягкие ткани;"Раздел объединяет разные вмешательства. A11.01.003 — только внутрикожное введение лекарственного препарата; A11.01.012 — введение искусственного имплантата в мягкие ткани. Выбрать по протоколу и регистрационной документации. Название средства само по себе не даёт кода.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115
Актуальный прайс Directus;127;mezoterapiya-i-biorevitalizaciya;Мезотерапия и биоревитализация;NOVACUTAN Ybio 2 ml;Условно: требуется подтверждение протокола;;;A11.01.003 | A11.01.012;Внутрикожное введение лекарственных препаратов | Введение искусственных имплантатов в мягкие ткани;"Раздел объединяет разные вмешательства. A11.01.003 — только внутрикожное введение лекарственного препарата; A11.01.012 — введение искусственного имплантата в мягкие ткани. Выбрать по протоколу и регистрационной документации. Название средства само по себе не даёт кода.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115
Актуальный прайс Directus;128;mezoterapiya-i-biorevitalizaciya;Мезотерапия и биоревитализация;PROFHILO 2 ml;Условно: требуется подтверждение протокола;;;A11.01.003 | A11.01.012;Внутрикожное введение лекарственных препаратов | Введение искусственных имплантатов в мягкие ткани;"Раздел объединяет разные вмешательства. A11.01.003 — только внутрикожное введение лекарственного препарата; A11.01.012 — введение искусственного имплантата в мягкие ткани. Выбрать по протоколу и регистрационной документации. Название средства само по себе не даёт кода.";https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115 | https://zubalmaz.ru/wp-content/uploads/2023/11/prikaz_mzrf_13.10.2017_804n_v24.09.2020_izm26.10.2022.pdf#page=115
